id_empresa,municipio,regiao,setor,cnae_grupo,porte,forma_juridica,ano_abertura,idade_anos,faturamento_anual,num_funcionarios,acesso_credito,participou_programa,exporta,nivel_inovacao,situacao_cadastral,sobreviveu_3anos
SC00001,Blumenau,Vale do Itajaí,Saúde e Bem-estar,86,ME,EI,2022,2,,2.0,0,0,0,8.0,Baixada,0
SC00002,Criciúma,Sul,Comércio Varejista,47,MEI,MEI,2020,4,81000.0,1.0,0,0,0,3.0,Ativa,1
SC00003,Camboriú,Vale do Itajaí,Tecnologia da Informação,62,MEI,MEI,2014,10,,1.0,1,0,0,5.0,Ativa,1
SC00004,Blumenau,Vale do Itajaí,Saúde e Bem-estar,86,ME,LTDA,2017,7,,8.0,0,0,0,8.0,Ativa,1
SC00005,Balneário Camboriú,Vale do Itajaí,Alimentação e Hospedagem,56,EPP,SLU,2019,5,360001.0,4.0,1,0,0,4.0,Baixada,0
SC00006,Chapecó,Oeste,Serviços,74,MEI,MEI,2022,2,81000.0,1.0,0,0,0,2.0,Baixada,0
SC00007,Criciúma,Sul,Serviços,74,MEI,MEI,2021,3,,1.0,0,0,0,3.0,Baixada,0
SC00008,Joinville,Norte,Comércio Varejista,47,MEI,MEI,2020,4,81000.0,1.0,0,0,0,0.0,Ativa,1
SC00009,Joinville,Norte,Comércio Varejista,47,MEI,MEI,2015,9,81000.0,1.0,0,1,0,1.0,Ativa,1
SC00010,Florianópolis,Grande Florianópolis,Alimentação e Hospedagem,56,MEI,MEI,2016,8,81000.0,1.0,1,1,0,1.0,Baixada,0
SC00011,Joinville,Norte,Comércio Varejista,47,EPP,LTDA,2014,10,360001.0,10.0,0,1,0,3.0,Ativa,1
SC00012,Joinville,Norte,Comércio Varejista,47,MEI,MEI,2013,11,81000.0,1.0,0,1,0,1.0,Baixada,0
SC00013,Criciúma,Sul,Agronegócio,01,MEI,MEI,2012,12,81000.0,0.0,1,0,0,4.0,Baixada,0
SC00014,Itajaí,Vale do Itajaí,Alimentação e Hospedagem,56,Grande,LTDA,2013,11,300000001.0,7.0,1,1,0,0.0,Baixada,0
SC00015,Blumenau,Vale do Itajaí,Serviços,74,ME,LTDA,2012,12,274358.11,,0,0,0,0.0,Ativa,1
SC00016,São José,Grande Florianópolis,Construção Civil,41,MEI,MEI,2019,5,81000.0,1.0,1,0,0,3.0,Ativa,1
SC00017,Florianópolis,Grande Florianópolis,Comércio Varejista,47,ME,EI,2012,12,360000.0,6.0,0,1,0,4.0,Ativa,1
SC00018,Itajaí,Vale do Itajaí,Construção Civil,41,ME,LTDA,2014,10,360000.0,5.0,0,0,0,,Ativa,1
SC00019,Blumenau,Vale do Itajaí,Serviços,74,ME,LTDA,2019,5,265149.5,,0,0,0,3.0,Ativa,1
SC00020,São Bento do Sul,Norte,Alimentação e Hospedagem,56,MEI,MEI,2021,3,81000.0,1.0,0,0,0,0.0,Ativa,1
SC00021,Joinville,Norte,Serviços,74,ME,EI,2011,13,360000.0,5.0,1,1,1,0.0,Ativa,1
SC00022,Palhoça,Grande Florianópolis,Indústria Têxtil,13,MEI,MEI,2010,14,81000.0,1.0,0,0,0,2.0,Suspensa,0
SC00023,Florianópolis,Grande Florianópolis,Comércio Varejista,47,ME,LTDA,2013,11,360000.0,5.0,0,0,0,2.0,Ativa,1
SC00024,Florianópolis,Grande Florianópolis,Construção Civil,41,MEI,MEI,2011,13,81000.0,1.0,0,0,0,0.0,Baixada,0
SC00025,Joinville,Norte,Serviços,74,ME,LTDA,2013,11,149819.88,1.0,0,0,0,,Baixada,0
SC00026,Camboriú,Vale do Itajaí,Comércio Varejista,47,EPP,LTDA,2015,9,597201.16,1.0,0,0,1,1.0,Ativa,1
SC00027,Florianópolis,Grande Florianópolis,Serviços,74,MEI,MEI,2014,10,81000.0,1.0,1,1,0,2.0,Ativa,1
SC00028,Joinville,Norte,Saúde e Bem-estar,86,ME,SLU,2011,13,360000.0,4.0,0,0,0,2.0,Ativa,1
SC00029,Itajaí,Vale do Itajaí,Comércio Varejista,47,MEI,MEI,2010,14,81000.0,1.0,0,0,0,5.0,Baixada,0
SC00030,Florianópolis,Grande Florianópolis,Serviços,74,MEI,MEI,2012,12,81000.0,1.0,0,0,0,,Baixada,0
SC00031,Blumenau,Vale do Itajaí,Serviços,74,EPP,LTDA,2013,11,360001.0,4.0,1,0,0,3.0,Ativa,1
SC00032,Itajaí,Vale do Itajaí,Serviços,74,ME,LTDA,2016,8,262964.54,1.0,0,0,0,4.0,Baixada,0
SC00033,Joinville,Norte,Comércio Varejista,47,MEI,MEI,2014,10,81000.0,1.0,0,0,0,,Ativa,1
